frame_id,handedness,finger,depth_mm
7,Left,thumb,242.0
7,Left,index,252.0
7,Left,middle,252.0
7,Left,ring,241.0
7,Left,pinky,234.0
8,Left,thumb,238.0
8,Left,index,261.0
8,Left,middle,267.0
8,Left,ring,256.0
8,Left,pinky,237.0
8,Right,thumb,208.0
8,Right,index,236.0
8,Right,middle,239.0
8,Right,ring,241.0
8,Right,pinky,254.0
9,Right,thumb,216.0
9,Right,index,244.0
9,Right,middle,245.0
9,Right,ring,257.0
9,Right,pinky,251.0
9,Left,thumb,219.0
9,Left,index,246.0
9,Left,middle,259.0
9,Left,ring,267.0
9,Left,pinky,257.0
10,Right,thumb,219.0
10,Right,index,240.0
10,Right,middle,245.0
10,Right,ring,260.0
10,Right,pinky,255.0
10,Left,thumb,229.0
10,Left,index,263.0
10,Left,middle,266.0
10,Left,ring,266.0
10,Left,pinky,249.0
11,Left,thumb,225.0
11,Left,index,247.0
11,Left,middle,249.0
11,Left,ring,263.0
11,Left,pinky,247.0
11,Right,thumb,214.0
11,Right,index,235.0
11,Right,middle,244.0
11,Right,ring,261.0
11,Right,pinky,249.0
12,Right,thumb,217.0
12,Right,index,237.0
12,Right,middle,250.0
12,Right,ring,247.0
12,Right,pinky,240.0
12,Left,thumb,223.0
12,Left,index,239.0
12,Left,middle,260.0
12,Left,ring,255.0
12,Left,pinky,247.0
13,Left,thumb,231.0
13,Left,index,261.0
13,Left,middle,271.0
13,Left,ring,266.0
13,Left,pinky,253.0
13,Right,thumb,220.0
13,Right,index,240.0
13,Right,middle,246.0
13,Right,ring,246.0
13,Right,pinky,247.0
14,Left,thumb,231.0
14,Left,index,264.0
14,Left,middle,262.0
14,Left,ring,257.0
14,Left,pinky,239.0
14,Right,thumb,220.0
14,Right,index,244.0
14,Right,middle,247.0
14,Right,ring,248.0
14,Right,pinky,240.0
15,Left,thumb,229.0
15,Left,index,249.0
15,Left,middle,264.0
15,Left,ring,268.0
15,Left,pinky,259.0
15,Right,thumb,218.0
15,Right,index,247.0
15,Right,middle,248.0
15,Right,ring,242.0
15,Right,pinky,238.0
16,Right,thumb,219.0
16,Right,index,236.0
16,Right,middle,246.0
16,Right,ring,245.0
16,Right,pinky,245.0
16,Left,thumb,229.0
16,Left,index,263.0
16,Left,middle,264.0
16,Left,ring,258.0
16,Left,pinky,245.0
17,Right,thumb,212.0
