frame_id,handedness,finger,depth_mm,dist_to_surface_mm
8,Left,thumb,255.2,6.96
8,Left,index,315.1,-52.94
8,Left,middle,230.2,31.96
8,Left,ring,235.7,26.46
8,Left,pinky,223.3,38.86
10,Left,thumb,321.7,-59.54
10,Left,index,249.4,12.76
10,Left,middle,249.0,13.16
10,Left,ring,242.1,20.06
10,Left,pinky,236.7,25.46
16,Left,thumb,265.3,-3.14
16,Left,index,230.6,31.56
16,Left,middle,342.9,-80.74
16,Left,ring,234.7,27.46
16,Left,pinky,221.5,40.66
17,Left,thumb,274.9,-12.74
17,Left,index,222.8,39.36
17,Left,middle,219.5,42.66
17,Left,ring,221.4,40.76
17,Left,pinky,231.3,30.86
18,Left,thumb,275.3,-13.14
18,Left,index,249.1,13.06
18,Left,middle,226.1,36.06
18,Left,ring,227.5,34.66
18,Left,pinky,225.7,36.46
19,Left,thumb,273.1,-10.94
19,Left,index,231.4,30.76
19,Left,middle,237.1,25.06
19,Left,ring,237.5,24.66
19,Left,pinky,238.9,23.26
19,Right,thumb,282.3,-20.14
19,Right,index,303.1,-40.94
19,Right,middle,254.3,7.86
19,Right,ring,245.8,16.36
19,Right,pinky,222.9,39.26
22,Right,thumb,269.5,-7.34
22,Right,index,303.3,-41.14
22,Right,middle,251.8,10.36
22,Right,ring,248.5,13.66
22,Right,pinky,238.1,24.06
31,Left,thumb,264.9,-2.74
31,Left,index,233.4,28.76
31,Left,middle,271.1,-8.94
31,Left,ring,244.1,18.06
31,Left,pinky,252.8,9.36
32,Left,thumb,272.5,-10.34
32,Left,index,274.4,-12.24
32,Left,middle,239.0,23.16
32,Left,ring,248.6,13.56
32,Left,pinky,262.8,-0.64
32,Right,thumb,293.5,-31.34
32,Right,index,276.3,-14.14
32,Right,middle,251.5,10.66
32,Right,ring,253.7,8.46
32,Right,pinky,245.7,16.46
35,Right,thumb,238.5,23.66
35,Right,index,253.6,8.56
35,Right,middle,226.7,35.46
35,Right,ring,220.3,41.86
35,Right,pinky,217.3,44.86
35,Left,thumb,242.8,19.36
35,Left,index,274.2,-12.04
35,Left,middle,241.1,21.06
35,Left,ring,246.2,15.96
35,Left,pinky,260.2,1.96
48,Left,thumb,274.8,-12.64
48,Left,index,254.7,7.46
48,Left,middle,276.2,-14.04
48,Left,ring,240.9,21.26
48,Left,pinky,237.6,24.56
