participant,session,frame_id,angle,surface,has_contact,handedness,clicked_key,depth_cam1_90_path,depth_cam2_30_path,depth_cam3_60_path,depth_depth_cam_path,rgb_cam1_90_path,rgb_cam2_30_path,rgb_cam3_60_path,rgb_depth_cam_path
P01,P01_semi_reflective_typing_133514,000023,45,semi_reflective,False,Right,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000023.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000023.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000023.png,data\P01\P01_semi_reflective_typing_133514\depth\000023.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000023.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000023.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000023.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000023.png
P01,P01_semi_reflective_typing_133514,000023,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000023.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000023.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000023.png,data\P01\P01_semi_reflective_typing_133514\depth\000023.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000023.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000023.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000023.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000023.png
P01,P01_semi_reflective_typing_133514,000024,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000024.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000024.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000024.png,data\P01\P01_semi_reflective_typing_133514\depth\000024.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000024.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000024.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000024.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000024.png
P01,P01_semi_reflective_typing_133514,000024,45,semi_reflective,False,Right,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000024.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000024.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000024.png,data\P01\P01_semi_reflective_typing_133514\depth\000024.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000024.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000024.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000024.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000024.png
P01,P01_semi_reflective_typing_133514,000025,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000025.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000025.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000025.png,data\P01\P01_semi_reflective_typing_133514\depth\000025.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000025.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000025.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000025.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000025.png
P01,P01_semi_reflective_typing_133514,000025,45,semi_reflective,False,Right,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000025.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000025.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000025.png,data\P01\P01_semi_reflective_typing_133514\depth\000025.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000025.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000025.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000025.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000025.png
P01,P01_semi_reflective_typing_133514,000026,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000026.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000026.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000026.png,data\P01\P01_semi_reflective_typing_133514\depth\000026.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000026.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000026.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000026.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000026.png
P01,P01_semi_reflective_typing_133514,000026,45,semi_reflective,True,Right,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000026.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000026.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000026.png,data\P01\P01_semi_reflective_typing_133514\depth\000026.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000026.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000026.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000026.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000026.png
P01,P01_semi_reflective_typing_133514,000027,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000027.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000027.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000027.png,data\P01\P01_semi_reflective_typing_133514\depth\000027.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000027.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000027.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000027.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000027.png
P01,P01_semi_reflective_typing_133514,000028,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000028.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000028.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000028.png,data\P01\P01_semi_reflective_typing_133514\depth\000028.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000028.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000028.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000028.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000028.png
